ああ[編集]
愛あいり（あい あいり）（2008年）（引退）
安達亜美（あだち あみ）（2012年）＝蓮実クレア
足立じゅりあ（あだち じゅりあ）（引退）
安達まどか（あだち まどか）（2013年）（引退）
安達真実（あだち まみ）（2006年）（引退）
阿立未来（あだち みく）＝みく、安藤遙、未来、森野はる、絵里
安達有里（あだち ゆり）（2009年）
安達莉子（あだち りこ）（2011年）
中まどか（あたる まどか）（2011年）
あづき美由（あづき みゆ）（2001年）
安土結（あづち ゆい）（2013年）
あづみ（あづみ）（2008年）
@YOU（あっとゆう）（2005年）
あとみるみ（あとみ るみ）（2007年）（引退）
あな[編集]
穴井小百合（あない さゆり）（1997年）（引退）
あのあるる（あのあ るる）（2008年）
あは[編集]
安部ちなつ（あべ ちなつ）（2005年）
安倍なつき（あべ なつき）（2000年）（引退）
阿部まりあ（あべ まりあ）（2003年）（引退）
あべみかこ（あべ みかこ）（2012年）
阿部乃みく（あべの みく）（2013年）
あま[編集]
甘衣かおり（あまい かおり）（2003年）
天衣みつ（あまい みつ）（2004年）（引退）＝滝沢美鈴
天川るる（あまかわ るる）（2008年）
天城夕紀（あまぎ ゆうき）（2002年）（引退）＝雨木夕紀
天咲めい（あまさき めい）（2006年）
天使美樹（あまつか みき）（2002年）（引退）
天使もえ（あまつか もえ）（2014年）
雨音しおん（あまね しおん）（2007年）
あまねなのは（あまね なのは）（2008年）＝Nana、吉川ななこ
天音まりあ（あまね まりあ）（2009年）＝七海まりあ
天音りん（あまね りん）（2015年）
天音るか（あまね るか）（2011年）
雨音レイラ（あまね れいら）（2008年）（引退）
天野こころ（あまの こころ）（2001年）（引退）
天野小雪（あまの こゆき）
天乃ひな（あまの ひな）（2006年）（引退）
天乃みお（あまの みお）（2006年）
天野みほ（あまの みほ）（2013年）（引退）＝鈴森汐那
天野未来（あまの みらい）（1997年）（引退）＝相原涼
天乃ゆり（あまの ゆり）（2006年）
天野リエ（あまの りえ）（1997年）（引退）
甘味いちご（あまみ いちご）（2001年?）＝三月あん
天海いずみ（あまみ いずみ）（2002年）（引退）
天海つばさ（あまみ つばさ）（2009年）
天海麗（あまみ れい）（2005年）（引退）
天海ゆり（あまみ ゆり）（2006年）
雨宮あおい（あまみや あおい）
雨宮衣織（あまみ いおり）
雨宮かおる（あまみや かおる）（2004年）（引退）
天宮かのん（あまみや かのん）（1998年）（引退）
雨宮螢（あまみや けい）（1999年）（引退）
雨宮琴（あまみや こと）（1999年）（引退）
雨宮琴音（あまみや ことね）（2008年）
雨宮せつな（あまみや せつな）（2005年）＝松本ルイ、秋月まひる
雨宮時空子（あまみや ときこ）（1987年）（引退）＝墨田ユキ
雨宮夏子（あまみや なつこ）（1991年）（引退）
雨宮真貴（あまみや まき）（2010年）
天宮まなみ（あまみや まなみ）（2004年）（引退）
雨宮まり（あまみや まり）（2003年）（引退）
天宮まりる（あまみや まりる）（2010年）
雨宮りか（あまみや りか）（2008年）（引退）＝涼宮さつき、河合結愛
Ami（あみ）（2006年）（引退）＝北沢亜美
Ami（あみ）（2008年）
亜美（あみ）（2010年）
亜美果あゆ（あみか あゆ）（2000年）（引退）
安室奈美（あむろ なみ）（1996年）（引退）＝高原奈美
亜室優輝（あむろゆき）（1995年）（引退）
雨乃しずく（あめの しずく）（2015年）
あや[編集]
AYA（あや）（2004年）（引退）
AYA（あや）（2006年）＝福永あや
AYA（あや）（2009年）＝牧野田彩
彩花（あやか）（1999年）（引退）
彩花ゆめ（あやか ゆめ）（2007年）（引退）
彩夏りん（あやか りん）（2012年）
彩輝ゆう（あやき ゆう）（2006年）（引退）
彩倉ゆり（あやくら ゆり）（2007年）（引退）
綾咲くるみ（あやさき くるみ）（2010年）
綾城結花（あやしろ ゆうか）（2007年）
彩城ゆりな（あやしろ ゆりな）（2012年）
綾瀬あいり（あやせ あいり）（2005年）
綾瀬エリカ（あやせ えりか）（2007年）
綾瀬ことり（あやせ ことり）（2015年）
綾瀬しおり（あやせ しおり）（2006年）
綾瀬千佳（あやせ ちか）（2003年）
綾瀬ちづる（あやせ ちづる）（2006年）
綾瀬ティアラ（あやせ てぃあら）（2009年）
綾瀬なるみ（あやせ なるみ）（2014年）
彩瀬希（あやせ のぞみ）（2012年）
綾瀬はるな（あやせ はるな）（2005年）（引退）＝夕鶴
綾瀬ひめ（あやせ ひめ）（2007年）
綾瀬ましろ（あやせま しろ）（2013年）
綾瀬みう（あやせ みう）（2006年）（引退）
綾瀬美緒（あやせ みお）（2005年）（引退）
綾瀬美音（あやせ みおん）（2007年）＝神谷梨々
彩瀬みく（あやせ みく）（1995年）（引退）
綾瀬みさ（あやせ みさ）（2008年）
綾瀬みなみ（あやせ みなみ）（2011年）
綾瀬みゅう（あやせ みゅう）（2007年）
綾瀬メグ（あやせ めぐ）（2006年）
あやせめる（あやせ める）（2010年）
綾瀬桃子（あやせ ももこ）（2009年）
綾瀬ラナ（あやせ らな）（2008年）（引退）
綾瀬ルリ（あやせ るり）（2001年）（引退）
綾瀬れん（あやせ れん）（2011年）
彩名杏子（あやな きょうこ）（2001年）（引退）
彩名ゆい（あやな ゆい）（2009年）＝青山雪菜
綾波あすか（あやなみ あすか）（2007年）
綾波セナ（あやなみ せな）（2007年）（引退）
綾波奈穂（あやなみ なほ）（2004年）＝矢沢るい
綾波優（あやなみ ゆう）（2007年）（引退）
綾波涼（あやなみ りょう）（1998年）（引退）
彩音心愛（あやね ここあ）（2011年）
彩音さくら（あやね さくら）（2010年）
あやね遥菜（あやね はるな）（2013年）
彩音ひかり（あやね ひかり）（2012年）
彩音まい（あやね まい）（2010年）
絢音ミミ（あやね みみ）（2007年）
彩音リカ（あやね りか）（2008年）＝RICA
彩音ゆい（あやね ゆい）（2008年）
綾音ゆりあ（あやね ゆりあ）（2011年）
綾乃（あやの）（1992年）（引退）
綾乃梓（あやの あずさ）（2004年）＝一戸のぞみ
あやの沙希（あやの さき）（2011年）
彩乃なな（あやの なな）（2014年）
綾野ひろ（あやの ひろ）（2003年）（引退）
綾野みゆき（あやの みゆき）（2006年）
綾原みづほ（あやはら みづほ）
AYAMI（あやみ）（2010年）
綾見志穂（あやみ しほ）（2000年）（引退）
あやみ旬果（あやみ しゅんか）（2012年）
綾見ひかる（あやみ ひかる）（2011年）
綾女（あやめ）（2008年）
彩芽はる（あやめ はる）（2006年）
あやめ美桜（あやめ みお）（2011年）
絢森いちか（あやもり いちか）（2015年）
鮎川あみ（あゆかわ あみ）（1999年）（引退）
鮎川あゆみ（あゆかわ あゆみ）（2008年）
鮎川香織（あゆかわ かおり）（2006年）
鮎川さくら（あゆかわ さくら）（2007年）
鮎川詩音（あゆかわ しおん）（1997年）（引退）
鮎川千里（あゆかわ ちさと）（2011年）（引退）
鮎川なお（あゆかわ なお）（2007年）（引退）
鮎川はるな（あゆかわ はるな）（1995年）（引退）＝青山和希
鮎川まどか（あゆかわ まどか）（2001年）
鮎川真理（あゆかわ まり）（1988年）（引退）
鮎川みさと（あゆかわ みさと）（2009年）
鮎川るい（あゆかわ るい）（2005年）
歩原ひかる（あゆはら ひかる）（2010年）（引退）
歩原らいと（あゆはら らいと）（2006年）（引退）
あゆみ翼（あゆみ つばさ）（2013年）＝上原みらい
あゆむ（あゆむ）（2009年）
あら[編集]
新井エリー（あらい えりー）（2005年）＝晶エリー、西川ひとみ、大沢佑香
荒井えみ（あらい えみ）（2008年）＝赤堀えみ、堀田友紀子、白鳥美玲
新井かすみ（あらい かすみ）
新井沙也加（あらい さやか）
荒井まどか（あらい まどか）（1995年）（引退）
荒井美恵子（あらい みえこ）（2006年）
新井悠花（あらい ゆうか）（1999年）（引退）
新垣さくら（あらがき さくら）（2009年）
新垣さや（あらかき さや）（2007年）（引退）
新垣セナ（あらがき せな）（2009年）
新垣とわ（あらがき とわ）（2013年）
荒川美姫（あらかわ みき）
荒木ありさ（あらき ありさ）＝月島うさぎ
荒木瞳（あらき ひとみ）
荒木まい（あらき まい）（2012年）
荒木美操（あらき みさお）（1990年）（引退）
荒木レナ（あらき れな）（2013年）
荒木りこ（あらき りこ）
あられ（あられ）（2007年）
亜梨（あり）（2008年）（引退）
有明ひとみ（ありあけ ひとみ）（2000年）（引退）
有賀あり（ありが あり）（2012年）
有賀知弥（ありが ちひろ）（2007年）
有賀美穂（ありが みほ）（1995年）（引退）＝有賀みほ
有賀ゆあ（ありが ゆあ）（2015年）
有賀涼（ありが りょう）（1999年）（引退）
有川真生（ありかわ まさき）（2003年）（引退）
ARISA（ありさ）（2002年）
ありさ（ありさ）（2011年）（引退）
愛梨沙（ありさ）（2009年）
亜里沙 （AV女優）（ありさ）（1987年）（引退）
有沢セナ（ありさわ せな）（2008年）
有沢成美（ありさわ なるみ）（1998年）（引退）
有沢実紗（ありさわ みさ）（2009年）（引退）
有沢りさ（ありさわ りさ）（2010年）＝南沙也香
阿利希カレラ（ありき かれら）（2009年）
有須あゆみ（ありす あゆみ）（1992年）（引退）
有田つばさ（ありた つばさ）（2002年）（引退）
有田ももか（ありた ももか）（2013年）
有村千佳（ありむら ちか）（2010年）
有村渚（ありむら なぎさ）（1994年）（引退）
有村みき（ありむら みき）（2009年）
有村みのり（ありむら みのり）（2007年）
有本紗世（ありもと さよ）（2013年）
有森いずみ（ありもり いずみ）（1997年）（引退）
有森みゆき（ありもり みゆき）（引退）
有森麗（ありもり れい）（1990年）（引退）＝美倉ケイ
有吉奈生子（ありよし なおこ）（1991年）（引退）
あわ[編集]
泡乃しずく（あわの しずく）（2008年）＝成宮カナ
あん[編集]
AN（あん）（2010年）
杏あんな（あん あんな）（2006年）
杏美月（あん みづき）（2006年）（引退）
安西あき（あんざい あき）（2006年）（引退）
安西カルラ（あんざい かるら）（2008年）（引退）
安西杏加（あんざい きょうか）（1999年）（引退）
安西みちる（あんざい みちる）（1993年）（引退）
安西美穂（あんざい みほ）（2004年）
安西美優（あんざい みゆう）（2001年）（引退）
安西優子（あんざい ゆうこ）（2010年）＝鈴木なつ
安西梨恵（あんざい りえ）（2005年）（引退）
安西梨香（あんざい りか）（引退）＝安西利香
安西瑠菜（あんざい るな）（2009年）
杏咲望（あんさき のぞみ）（2014年）
アンジェ（あんじぇ）（2011年）
杏珠（あんじゅ）（2006年）
杏樹紗奈（あんじゅ さな）（2008年）=くるみひな
杏樹そら（あんじゅ そら）（2007年）＝ひなのりく
安城アンナ（あんじょう あんな）（2011年）
ANZ（あんず）（2004年）
杏あづさ（あんず あづさ）（2009年）＝来栖千夏（2011年-2012年）、 河西あみ（かさい あみ）（2013年-）
あんずさき（あんず さき）（2004年）（引退）
杏ののか（あんず ののか）（2008年）
杏子ゆう（あんず ゆう）（2011年）
安藤綾（あんどう あや）（1997年）（引退）＝流星ラム
安藤有里（あんどう あり）（1992年）（引退）＝高倉みなみ
安堂エリカ（あんどう えりか）（2009年）
安藤加奈（あんどう かな）（1989年）（引退）
安藤じゅりあ（あんどう じゅりあ）（2005年）
安藤さやか（あんどう さやか）（2009年）
安藤サラ（あんどう さら）（1994年）（引退）
安藤千代子（あんどう ちよこ）（2004年）
杏童なつ（あんどう なつ）（2005年）（引退）
杏堂なつ（あんどう なつ）（2006年）＝榊れいな
杏藤なつ（あんどう なつ）（1998年）（引退）
安藤なつ妃（あんどう なつき）（2006年）（引退） ＝真咲南朋
安藤遙（あんどう はるか）＝みく、阿立未来、未来、森野はる、絵里
安藤真央（あんどう まお）（2007年）＝翔乃まゆ
安藤美沙（あんどう みさ）（2009年）
杏藤ゆあ（あんどう ゆあ）（2007年）
安堂結衣（あんどう ゆい）（2005年）＝森雫
ANNA（あんな）（2005年）（引退）
安奈久美（あんな くみ）（2006年）
安奈とも（あんな とも）（2006年）
杏奈りか（あんな りか）（2013年）
庵野杏（あんの あん）（2014年）
杏野小夜（あんの さよ）（1999年）（引退）
杏野まひる（あんの まひる）（2007年）（引退）
安野由美（あんの ゆみ）（2014年）
杏野るり（あんの るり）（2002年）（引退）＝中場千鶴、田原あいり
安来めぐ（あんらい めぐ）（2002年）（引退）
い[編集]
いあ[編集]
飯岡かなこ（いいおか かなこ）（2013年）
飯倉美奈子（いいくら みなこ）
飯沢もも（いいざわ もも）（2003年）（引退）
飯島愛（いいじま あい）（1992年）（死亡）
飯島愛子（いいじま あいこ）（2003年）
飯島くらら（いいじま くらら）（2007年）（引退）＝星川ルル
飯島恋（いいじま こい）（1993年）（引退）
飯島夏希（いいじま なつき）（2006年）＝桜庭ハル
飯島美夏夜（いいじま みかよ）（2000年）（引退）
飯島めぐみ（いいじま めぐみ）（引退）
飯島麗華（いいじま れいか）（2000年）（引退）
飯田夏帆（いいだ かほ）（1995年）（引退）
飯田麗子（いいだ れいこ）（1993年）（引退）
飯田れな（いいだ れな）（2001年）（引退）
飯塚あかね（いいづか あかね）（2012年）
飯塚マナ（いいづか まな）（2002年）（引退）
飯浜紀香（いいはま のりか）
家永翔子（いえなが しょうこ）（1991年）（引退）＝竹田愛美
いおり（いおり）（2006年）＝井上詩織
伊織しずく（いおり しずく）（2012年）
伊織涼子（いおり りょうこ）（2010年）
EVE（いう゛）（1984年）＝神代弓子
いか[編集]
五十嵐こずえ（いがらし こずえ）（1991年）（引退）
五十嵐こころ（いがらし こころ）（2008年）
五十嵐しのぶ（いがらし しのぶ） ＝川島めぐみ
五十嵐ゆうか（いがらし ゆうか）（1999年）（引退）
五十嵐純子（いがらし じゅんこ）（2012年）
井川鈴乃（いかわ すずの）（2014年）
井川かなえ（いがわ かなえ）（2006年）（引退）
伊川なち（いがわ なち）（2006年）（引退）
井川成美（いがわ なるみ）（2003年）（引退）
井川美保（いがわ みほ）（2008年）
井川ゆい（いがわ ゆい）（2009年）
衣川由衣（いかわ ゆい）（2006年）
井川芽衣（いがわ めい）（2009年）
井川留美（いがわ るみ）（2004年）＝大城真澄（引退）
生田沙織（いくた さおり）（2005年）
生田正子（いくた まさこ）
生野真琴（いくの まこと）（1995年）（引退）
井倉聖（いくら ひじり）（2001年）（引退）
池内梓（いけうち あずさ）（1989年）（引退）
池内ユカ（いけうち ゆか）（1990年）
池上恵美（いけがみ えみ）（1995年）（引退）
池上美沙（いけがみ みさ）（1995年）（引退）
池上優美香（いけがみ ゆみか）（1998年）（引退）＝紺野沙織
池上ゆりこ（いけがみ ゆりこ）（1999年）（引退）
池田こずえ（いけだ こずえ）（引退）
池田久美子（いけだ くみこ）（1996年）（引退）
池田美和子（いけだ みわこ）（2010年）＝篠田あゆみ
池野心（いけの こころ）（2005年）（引退）
池野瞳（いけの ひとみ）（1998年）（引退）
池乃内るり（いけのうち るり）（1998年）（引退）
生駒はるな（いこま はるな）（2013年）
いさ[編集]
伊沢千夏（いざわ ちなつ）（2005年）
伊沢美春（いざわ みはる）（2009年）
伊沢涼子（いざわ りょうこ）（1998年）＝吉井美希
石井あづさ（いしい あづさ）（2005年）
石絵未季（いしえ みき）（2000年）（引退）
いしかわ愛里（いしかわ あいり）（2002年）（引退）
石川えみ（いしかわ えみ）（2006年）
石川かすみ（いしかわ かすみ）＝石川奈々子
石川さとこ（いしかわ さとこ）
石川鈴華（いしかわ すずか）（2008年）＝池内莉奈
石川奈々子（いしかわ ななこ）＝石川かすみ
石川麻矢（いしかわ まや）（1995年）＝橘未稀
石川真理絵（いしかわ まりえ）（1988年）（引退）
石川まりな（いしかわ まりな）
石川みずき（いしかわ みずき）（2008年）
石川結衣（いしかわ ゆい）（2014年）
石川流花（いしかわ るか）（2011年）
一色明奈（いしき あきな）（2009年）
石倉えいみ（いしくら えいみ）（2011年）
石黒あすか（いしぐろ あすか）（2008年）（引退）
石黒京香（いしぐろ きょうか）（2007年）
石黒沙良（いしぐろ さら）（2008年）
石田くみ（いしだ くみ）（1987年）（引退）＝百瀬まりも
いしだともみ（いしだ ともみ）（1999年）（引退）
石田れいな（いしだ れいな）
石野容子（いしの ようこ）(2007年) (死去)＝いしのようこ、白井エリコ
石橋ゆう子（いしばし ゆうこ）（2008年）
石原あい（いしはら あい）（2012年）＝葵野まりん
石原あずさ（いしはら あずさ）（2013年）
石原圭以子（いしはら けいこ）（1988年）（引退）
石原こと（いしはら こと）（2009年）＝小泉ありさ
石原さやか（いしはら さやか）（2004年）（引退）
石原小百合（いしはら さゆり）
石原ちか（いしはら ちか）（2009年）
石原真美（いしはら まみ）（2008年）
石原美希（いしはら みき）（2013年）
石原めぐみ（いしはら めぐみ）（1993年）（引退）
石原ゆり（いしはら ゆり）（1992年）（引退）
石原莉奈（いしはら りな）（2008年）（引退）
石山リョウ（いしやま りょう）（2007年）＝佐々木涼
伊島香織（いじま かおり）（2011年）
伊集院さら（いじゅういん さら）（1999年）＝伊集院沙羅
いずみ彩（いずみ あや）（2007年）（引退）
和泉ありさ（いずみ ありさ）（2006年）（引退）
和泉カレン（いずみ かれん）
泉京子（いずみ きょうこ）（1993年）（引退）
泉静香（いずみ しずか）（1996年）（引退）
和泉しずく（いずみ しずく）（2009年）
泉星香（いずみ せいか）（2000年）（引退）
泉星砂（いずみ せいさ）（2012年）
泉セナ（いずみ せな）（2003年）（引退）
泉貴子（いずみ たかこ）（2007年）
伊澄知世（いすみ ともよ）（2013年）＝大島知世、坂木麗奈、鍵谷沙織
泉麻那（いずみ まな）（2009年）
泉まりん（いずみ まりん）（2005年）（引退）
泉もえ（いずみ もえ）（2014年）
泉結愛（いずみ ゆあ）（2009年）
いずみ由香（いずみ ゆか）（1984年）（引退）＝吉沢有希子、会沢由香、早見瞳
和泉玲奈（いずみ れいな）（1998年）（引退）
五十川みどり（いそがわ みどり） （2007年）（引退）
磯崎光（いそざき ひかる） （2008年）
いた[編集]
板垣あずさ（いたがき あずさ）（2007年）
板倉幸江（いたくら さちえ）
板野沙代（いたの さよ）（2012年）
板野風香（いたの ふうか）（2011年）
板野有紀（いたの ゆうき）（2012年）
市井静香（いちい しずか）（2001年）（引退）
ICHIKA（いちか）（2006年）
一花のあ（いちか のあ）（2014年）
市川亜紀（いちかわ あき）（1999年）（引退）
市川彩乃（いちかわ あやの）（2004年）（引退）
市川沙苗（いちかわ さなえ）
市川はるか（いちかわ はるか）（2004年）
市川まさみ（いちかわ まさみ）（2015年）
市川まほ（いちかわ まほ）（2011年）
市川よしの（いちかわ よしの）（2008年）
市来美保（いちき みほ）（2012年）＝姫野ゆうり
苺みるく（いちご みるく）（2000年）(死亡)
一条愛美（いちじょう あいみ）（2009年）
一条綺美香（いちじょう きみか）（2012年）
一条さき（いちじょう さき）（1999年）
一条さや（いちじょう さや）（2009年）
一条星空（いちじょう せいら）（2013年）
一条命（いちじょう みこと）（2010年）
一条美穂（いちじょう みほ）（2004年）（引退）
一条玲子（いちじょう れいこ）（1990年）（引退）
一の樹愛（いちのき あい）（1991年）（引退）
一ツ樹ちはる（いちのき ちはる）（1996年）（引退）
一ノ瀬茜（いちのせ あかね）（1997年）（引退）
一ノ瀬あきら（いちのせ あきら）（2007年）
一ノ瀬アメリ（いちのせ あめり）（2009年）＝栗栖エリカ、美空あやか
一ノ瀬綾（いちのせ あや）（1996年）（引退）
一ノ瀬かずみ（いちのせ かずみ）（2004年）
一ノ瀬カレン（いちのせ かれん）（2005年）
一ノ瀬さくら（いちのせ さくら）（2007年）（引退）
一ノ瀬翔（いちのせ しょう）（2006年）（引退）
一之瀬すず（いちのせ すず）（2013年）
一ノ瀬菜々（いちのせ なな）（2000年）（引退）
一ノ瀬雅子（いちのせ まさこ）（1989年）＝桜樹ルイ
一ノ瀬悠（いちのせ ゆう）（2003年）（引退）＝ゆう.
一ノ瀬ゆき（いちのせ ゆき）（2006年）
一ノ瀬麗花（いちのせ れいか）（2015年）
一ノ瀬れいな（いちのせ れいな）（2012年）
一ノ瀬ルカ（いちのせ るか）（2011年）
一戸のぞみ（いちのへ のぞみ）（2008年）＝綾乃梓
市原葵（いちはら あおい）（1997年）（引退）
市原結（いちはら ゆい）（2005年）（引退）
いつか（いつか）（2003年）
樹ますみ（いつき ますみ）（1986年）（引退）
樹まり子（いつき まりこ）（1989年）（引退）＝樹マリ子、青木さえこ
樹若菜（いつき わかな）（2001年）（引退）
一色あかね（いっしき あかね）（2007年）
一色あずさ（いっしき あずさ）（2004年）
一色彩果（いっしき あやか）（1997年）
一色さくら（いっしき さくら）（2008年）
一色志乃（いっしき しの）（2000年）＝南えり、西田有紀
一色ひかる （AV女優）（いっしき ひかる）（1986年）（引退）
一色ほなみ（いっしき ほなみ）（2009年）
一色まりな（いっしき まりな）
一色百音（いっしき もね）（2009年）
一色里桜（いっしき りお）（2014年）
一色麗矢（いっしき れいや）（1992年）
一色れな（いっしき れな）（2003年）
井藤あい（いとう あい）（2004年）（引退）
伊東あいり（いとう あいり）（2006年）（引退）
伊藤青葉（いとう あおば）（2007年）
伊藤麻子（いとう あさこ）（1989年）（引退）
伊藤あずさ（いとう あずさ）（2006年）＝桐原あずさ
伊東エリ（いとう えり）（2007年）（引退）
伊東薫（いとう かおる）（1992年）（引退）
伊藤きらら（いとう きらら）（1996年）（引退）
伊東恵（いとう けい）（1989年）（引退）= 杉本みゆき
伊藤さやか（いとう さやか）（1989年）（引退）
いとうしいな（いとう しいな）（1989年）（引退）＝椎名かほり、柏木ゆかり
伊東ちかほ（いとう ちかほ）（2004年）
伊東千夏（いとう ちなつ）（1998年）＝三田友穂
伊東紅（いとう べに）（2013年）
伊藤友美（いとう ともみ）（1988年）（引退）
伊東菜々（いとう なな）（2009年）
伊東遥（いとう はるか）（2008年）（引退）
伊藤ひとみ（いとう ひとみ）（2005年）
伊東麻央（いとう まお）（2009年）＝スザンナ、藤谷ゆうき
伊藤真紀（いとう まき）（1991年）（引退）
伊藤まり（いとう まり）（2003年）（引退）＝立花瞳
伊藤真理子（いとう まりこ）（2007年）
伊東美姫（いとう みき）（2011年）
伊藤結衣（いとう ゆい）（2007年）（引退）
伊東ユリア（いとう ゆりあ）（2010年）
伊藤ユリエ（いとう ゆりえ）（2010年）
伊藤蘭（いとう らん）（1990年）（引退）
伊藤ルナ（いとう るな）（2009年）（引退）＝桐矢礼央
伊東梨花（いとう りか）（2003年）
伊藤りな（いとう りな）（2012年）
伊東怜（いとう れい）（2002年）（引退）
糸篠あみ（いとしの あみ）（2001年）（引退）
愛乃なみ（いとしの なみ）（2012年）
糸矢めい（いとや めい）（2006年）
いな[編集]
稲川なつめ（いながわ なつめ）（2011年）
稲葉あすか（いなば あすか）（1998年）（引退）
稲葉夕輝（いなば ゆうき）（2005年）（引退）
稲葉めい（いなば めい）（1992年）（引退）＝高野ひとみ
稲葉ゆい（いなば ゆい）（2011年）
稲葉雪乃（いなば ゆきの）（1998年）（引退）
稲見亜矢（いなみ あや）（2009年）
稲本朱美（いなもと あけみ）（2005年）（引退）
稲本ちえみ（いなもと ちえみ）（2004年）
稲森亜美（いなもり あみ）（2003年）（引退）＝藤沢マリ
稲森あずみ（いなもり あずみ）（2007年）
稲森ケイト（いなもり けいと）（2006年）＝桜木りん
稲森琴（いなもり こと）
稲森しほり（いなもり しほり）（2005年）＝芦名未帆
稲森まほ（いなもり まほ）（2010年）＝双葉みか
稲森麗奈（いなもり れいな）（2003年）（引退）
伊乃愛華（いの あいか）
井上明日香（いのうえ あすか）（2009年）
井上綾子（いのうえ あやこ）（2014年）
井上亜由美（いのうえ あゆみ）＝朝比奈るい
井上あんり（いのうえ あんり）（1985年）（死亡）
井上英李（いのうえ えり）（2014年）
井上華奈（いのうえ かな）（1985年）（引退）＝井上華菜、井上可奈、井上可菜、井上かな
井上詩織（いのうえ しおり）（1997年）（引退）＝いおり
井上しおり（いのうえ しおり）（1994年）（引退）
井上千尋（いのうえ ちひろ）（1999年）＝黒崎さゆり
井上ひかり（いのうえ ひかり）（2002年）（引退）
井上瞳（いのうえ ひとみ）（2014年）
井上美樹（いのうえ みき）（1988年）（引退）
井上みづき（いのうえ みづき）（2014年）
井上雅（いのうえ みやび）（2004年）（引退）
井上みわ（いのうえ みわ）（2014年）
井上優香（いのうえ ゆうか）（1998年）（引退）
井上佑香（いのうえ ゆうか）（2002年）（引退）
井上優奈（いのうえ ゆうな）（2013年）
井本茜（いのもと あかね）（2008年）
いは[編集]
伊吹まりあ（いふき まりあ）（2000年）（引退）＝聖さやか、沢村奈々、森田なお
伊吹純（いぶき じゅん）
伊吹ゆうな（いぶき ゆうな）（2007年）
伊吹怜（いぶき れい）（2008年）＝伊吹れい、伊吹さやか、伊吹伶子、奥野雪枝
伊吹りこ（いぶき りこ）（2007年）
伊吹稟（いぶき りん）（2005年）
いま[編集]
今井絵理（いまい えり）（2001年）（引退）
今井加奈（いまい かな）（1991年）（引退）
今井かのん（いまい かのん）（2010年）（引退）
今井今日子（いまい きょうこ）（2000年）（引退）
今井さやか（いまい さやか）（2009年）
今井静香（いまい しずか）（1991年）（引退）
今井つかさ（いまい つかさ）（2003年）
今井ひろの（いまい ひろの）（2009年）
今井はるか（いまい はるか）（1997年）（引退）
今井美空（いまい みく）（2014年）＝中山理莉
今井美鈴（いまい みすず）（2013年）
今井もも（いまい もも）（2005年）
今井美果（いまい みか）（1991年）（引退）
今井優（いまい ゆう）（2009年）
今泉未来（いまいずみ みく）（引退）
今枝陽子（いまえだ ようこ）（2009年）
今宿まこと（いまじゅく まこと）（2002年）
今中友里（いまなか ゆり）＝矢野愛弓
今野由愛（いまの ゆめ）（2004年）（引退）
今村楓（いまむら かえで）（2012年）
今村美穂（いまむら みほ）（2010年）（引退）
妹川尚子（いもかわ なおこ）（2003年）
いら[編集]
いりえまこ（いりえ まこ）（1995年）（引退）
いわ[編集]
岩佐あゆみ（いわさ あゆみ）（2011年）
岩佐めい（いわさ めい）（2007年）＝彩月あかり
岩崎彩菜（いわさき あやな）（2008年）
岩崎絵美子（いわさき えみこ）（2014年）＝美咲杏
岩崎千鶴（いわさき ちづる）
岩崎美穂（いわさき みほ）（2002年）
岩下あきら（いわした あきら）（1996年）（引退）
岩下美季（いわした みき）（2001年）＝倖田李梨
う[編集]
うあ[編集]
ヴィクトリア・ユキ（う゛ぃくとりあ ゆき）（2014年）
宇江希ともえ（うえき　ともえ）
上杉えま（うえすぎ えま）（1999年）（引退）
上杉佳代子（うえすぎ かよこ）（2002年）（引退）
上杉愛奈（うえすぎ まな）（1992年）（引退）
上田樹里（うえだ じゅり）
植田千珈（うえだ ちか）（1988年）（引退）＝杉本麻央
植田真奈（うえだ まな）（1995年）（引退）
上田美緒（うえだ みお）（1989年）（引退）
上田美穂（うえだ みほ）（1996年）（引退）＝工藤綾美
上戸あい（うえと あい）（2005年）（引退）
上戸優（うえと ゆう）
上戸さや（うえと さや）（2004年）＝渋谷りな
上戸そら（うえと そら）（2013年）
上戸恵（うえと めぐみ）（2004年）（引退）
上野綾（うえの あや）（2009年）
上野美咲（うえの みさき）（2005年）（引退）
上野ゆり（うえの ゆり）（2005年）（引退）
上野結（うえの ゆい）（1997年）（引退）
上野莉奈（うえの りな）（2015年）
上原亜衣（うえはら あい）（2011年）
上原あやか（うえはら あやか）（1997年）（引退）
上原いづみ（うえはら いづみ）（1999年）（引退）
上原絵里香（うえはら えりか）
上原カエラ（うえはら かえら）（2008年）（引退）
上原空（うえはら かすみ）（2005年）
上原花恋（うえはら かれん）（2012年）
上原圭（うえはら けい）
上原さゆり（うえはら さゆり）（2011年）
上原千尋（うえはら ちひろ）（2012年）
上原のぞみ（うえはら のぞみ）（2007年）
上原花（うえはら はな）（2009年）
上原保奈美（うえはら ほなみ）（2011年）
上原舞（うえはら まい）（2000年）（引退）
上原麻衣（うえはら まい）（2014年）
上原まみ（うえはら まみ）（2008年）（引退）
上原まりえ（うえはら まりえ）（2006年）（引退）
上原美紀（うえはら みき）（2004年）（引退）
上原瑞穂（うえはら みずほ）（2011年）
上原美菜（うえはら みな）（2007年）
上原みゆき（うえはら みゆき）（1999年）（引退）
